,fheight,sheight
1,65.049,59.778
2,63.251,63.214
3,64.955,63.342
4,65.752,62.792
5,61.137,64.281
6,63.023,64.242
7,65.371,64.082
8,64.724,63.996
9,66.065,64.613
10,66.967,63.979
11,59.008,65.245
12,62.932,65.351
13,63.671,65.680
14,64.074,65.437
15,64.689,65.294
16,65.155,64.790
17,66.374,65.019
18,65.577,65.546
19,67.368,65.081
20,66.759,65.490
21,67.798,65.135
22,69.535,65.513
23,62.540,66.584
24,63.810,66.378
25,64.457,66.148
26,64.966,65.973
27,64.707,65.959
28,65.738,66.452
29,65.501,65.748
30,65.554,65.972
31,66.903,65.905
32,66.574,65.908
33,66.532,66.471
34,67.906,65.750
35,68.292,66.347
36,67.741,66.086
37,68.469,66.280
38,69.383,66.344
39,71.818,66.417
40,62.416,67.226
41,64.491,67.464
42,64.488,66.994
43,63.923,66.766
44,65.446,67.034
45,65.030,66.843
46,65.670,69.299
47,68.661,69.091
48,66.546,61.664
49,64.860,65.729
50,69.607,68.980
51,64.814,67.374
52,65.327,67.175
53,65.832,67.067
54,65.834,67.294
55,65.561,67.627
56,65.869,67.479
57,65.773,66.922
58,67.091,67.583
59,66.614,67.212
60,67.411,66.816
61,67.277,67.243
62,66.611,67.510
63,68.174,67.570
64,67.806,67.173
65,68.325,67.541
66,68.078,67.371
67,68.968,67.597
68,68.925,67.251
69,69.609,66.825
70,70.356,66.727
71,70.006,66.930
72,72.754,67.648
73,62.821,68.043
74,62.869,68.489
75,63.913,68.048
76,64.541,68.346
77,64.519,68.338
78,66.027,68.314
79,65.810,68.183
80,66.018,68.511
81,65.537,68.120
82,65.733,68.316
83,66.774,68.048
84,66.679,68.613
85,66.976,67.942
86,66.940,68.084
87,66.846,68.368
88,67.120,67.852
89,67.742,68.198
90,68.272,68.019
91,67.607,68.234
92,68.447,67.897
93,67.658,68.624
94,68.712,67.979
95,69.320,68.267
96,68.740,67.942
97,69.134,68.621
98,69.350,68.239
99,68.630,68.586
100,69.583,68.066
101,70.395,68.382
102,71.193,67.759
103,70.824,68.600
104,71.654,67.915
105,73.281,67.839
106,63.038,68.776
107,63.664,69.608
108,65.383,69.691
109,64.602,69.415
110,66.407,69.689
111,65.770,69.208
112,65.667,69.456
113,66.057,69.596
114,66.546,69.280
115,66.572,69.523
116,66.649,68.744
117,67.719,69.310
118,68.487,69.226
119,67.828,69.241
120,67.558,69.491
121,68.078,69.119
122,69.167,68.938
123,68.693,69.458
124,68.618,69.276
125,68.648,69.229
126,68.617,68.705
127,70.365,69.346
128,70.010,68.871
129,70.140,69.303
130,70.207,69.158
131,71.281,69.627
132,70.904,69.110
133,72.190,69.096
134,74.962,69.033
135,64.882,69.857
136,65.552,70.063
137,65.659,69.898
138,65.928,70.262
139,65.942,70.527
140,67.436,70.527
141,67.484,69.787
142,67.613,70.367
143,68.452,69.976
144,68.495,69.833
145,68.106,70.700
146,69.483,70.169
147,69.074,70.116
148,69.393,69.954
149,69.443,70.313
150,69.521,69.809
151,70.155,69.968
152,69.869,69.939
153,70.444,69.735
154,70.854,70.084
155,71.301,70.010
156,72.140,70.650
157,72.190,70.013
158,75.434,70.091
159,64.518,71.343
160,66.363,70.815
161,65.569,71.449
162,66.790,71.187
163,66.912,71.663
164,68.171,71.395
165,67.501,70.736
166,67.835,71.261
167,68.953,71.047
168,69.260,71.259
169,68.742,70.895
170,69.743,71.317
171,70.299,71.557
172,70.044,71.177
173,70.236,71.034
174,70.881,71.373
175,71.191,71.647
176,72.374,71.121
177,73.033,70.918
178,74.808,71.665
179,67.395,72.392
180,67.315,71.879
181,67.780,72.345
182,69.338,72.173
183,68.724,72.521
184,69.990,71.988
185,69.754,72.345
186,70.659,72.453
187,71.109,72.269
188,72.481,71.968
189,72.480,72.182
190,67.522,72.786
191,68.239,73.041
192,68.800,72.879
193,69.896,73.173
194,71.486,73.633
195,70.765,72.882
196,71.914,73.181
197,63.084,74.321
198,68.232,74.407
199,70.058,73.768
200,70.840,73.921
201,72.569,73.755
202,67.934,75.562
203,67.540,75.702
204,72.799,77.213
205,62.675,61.289
206,68.192,74.283
207,65.072,70.931
208,73.430,75.348
209,62.941,61.788
210,62.537,64.000
211,69.902,62.466
212,71.072,73.705
213,71.111,66.350
214,69.484,62.205
215,70.183,65.421
216,65.461,63.992
217,62.041,62.785
218,63.601,63.525
219,65.606,63.500
220,68.030,62.897
221,61.816,63.728
222,63.789,63.732
223,64.890,64.396
224,65.791,63.701
225,66.424,64.448
226,68.809,64.279
227,61.765,65.184
228,64.303,65.101
229,63.691,65.563
230,64.997,64.945
231,65.349,65.142
232,64.813,65.168
233,65.717,65.581
234,66.031,65.635
235,67.049,64.872
236,67.775,65.418
237,69.050,64.723
238,62.183,65.846
239,62.764,65.773
240,63.884,66.674
241,65.411,66.547
242,64.623,66.432
243,65.646,66.333
244,66.163,66.249
245,65.995,66.398
246,65.798,66.694
247,67.429,66.221
248,67.119,66.435
249,67.329,66.658
250,67.862,65.769
251,68.316,66.208
252,67.964,66.302
253,68.686,65.819
254,71.181,66.346
255,62.430,66.884
256,62.885,66.816
257,64.073,67.362
258,63.886,67.683
259,64.827,67.199
260,65.397,67.269
261,64.773,67.451
262,68.666,68.959
263,65.198,62.013
264,64.326,64.107
265,66.083,66.009
266,69.017,65.778
267,64.502,66.944
268,66.077,66.812
269,65.736,67.014
270,66.455,67.437
271,65.630,66.844
272,66.394,67.254
273,67.337,67.523
274,66.839,67.178
275,66.697,67.607
276,67.347,66.899
277,67.353,66.747
278,67.936,67.169
279,67.766,67.238
280,68.116,66.756
281,68.255,66.798
282,68.834,67.488
283,69.408,67.110
284,69.321,67.065
285,70.480,66.939
286,70.064,67.547
287,70.638,66.857
288,62.411,67.710
289,63.153,67.883
290,63.514,68.665
291,63.914,68.582
292,64.617,68.445
293,64.862,68.412
294,65.913,68.447
295,66.199,68.383
296,66.460,67.930
297,65.503,68.303
298,66.878,67.975
299,67.079,68.183
300,66.833,68.580
301,67.182,68.570
302,66.518,67.819
303,66.953,67.880
304,66.636,68.228
305,68.185,68.013
306,67.606,67.850
307,68.279,67.801
308,67.980,68.600
309,69.001,68.087
310,69.311,67.877
311,68.886,68.478
312,68.948,68.600
313,69.422,68.078
314,69.495,68.082
315,70.346,67.732
316,69.924,68.413
317,70.691,68.595
318,70.566,68.285
319,72.410,68.065
320,72.477,68.414
321,62.721,69.370
322,63.900,69.004
323,64.504,69.373
324,64.818,68.895
325,65.376,69.374
326,65.826,69.344
327,66.294,68.967
328,65.810,69.599
329,66.809,69.246
330,67.167,69.683
331,67.305,68.905
332,67.546,69.073
333,67.869,69.033
334,68.350,69.182
335,67.608,69.642
336,68.484,68.828
337,68.567,69.242
338,69.074,69.103
339,68.568,68.985
340,69.154,69.316
341,68.607,69.204
342,68.544,68.938
343,69.655,69.367
344,70.416,68.712
345,69.975,68.757
346,70.266,69.354
347,71.317,69.429
348,71.292,69.520
349,72.594,69.228
350,64.403,69.951
351,64.913,69.920
352,66.348,69.981
353,66.043,69.742
354,65.695,69.823
355,66.715,69.902
356,66.650,70.299
357,68.332,69.837
358,67.943,69.948
359,67.967,70.275
360,68.277,70.678
361,68.750,70.389
362,69.054,70.376
363,69.008,70.607
364,69.395,70.169
365,69.763,69.852
366,69.646,70.234
367,70.454,70.284
368,69.899,70.339
369,70.984,69.814
370,71.220,70.547
371,71.454,69.967
372,71.610,69.737
373,73.203,69.860
374,63.891,70.871
375,65.994,71.367
376,66.042,71.188
377,67.477,70.750
378,66.685,70.730
379,68.270,71.321
380,67.729,70.888
381,68.284,70.909
382,68.395,70.877
383,69.129,71.198
384,69.108,71.319
385,69.742,71.229
386,69.999,71.359
387,69.561,71.602
388,69.978,70.973
389,70.887,71.189
390,70.647,71.403
391,72.264,71.395
392,71.506,70.888
393,73.014,71.274
394,66.203,72.103
395,67.263,72.032
396,67.809,71.997
397,69.083,71.726
398,69.351,71.929
399,69.600,72.205
400,70.089,72.294
401,70.184,72.585
402,71.270,72.047
403,72.077,71.805
404,72.339,71.805
405,67.068,73.066
406,67.859,73.445
407,69.073,73.192
408,69.599,73.375
409,69.737,73.226
410,70.541,72.884
411,72.410,72.778
412,72.789,73.270
413,68.101,73.962
414,68.611,74.643
415,71.293,73.926
416,72.094,74.588
417,74.692,74.310
418,71.162,75.100
419,68.308,77.155
420,60.419,60.782
421,63.945,62.363
422,63.068,66.402
423,63.980,58.507
424,73.895,70.001
425,72.037,70.994
426,61.025,64.964
427,65.399,70.476
428,71.966,69.234
429,71.296,64.902
430,65.158,68.775
431,68.903,69.858
432,64.452,62.524
433,63.995,63.288
434,66.461,63.529
435,67.126,62.875
436,62.279,63.918
437,63.849,64.323
438,65.436,64.224
439,65.621,64.596
440,66.170,64.285
441,67.627,63.788
442,60.214,65.664
443,62.994,64.808
444,63.572,65.635
445,65.151,64.749
446,65.135,64.791
447,64.797,65.110
448,66.249,65.552
449,66.227,65.301
450,66.606,65.143
451,67.992,65.094
452,69.049,64.814
453,62.129,65.951
454,63.162,66.375
455,64.455,66.386
456,63.755,66.319
457,64.640,65.809
458,64.591,66.096
459,66.060,66.491
460,65.985,66.326
461,65.662,66.598
462,67.115,66.009
463,67.313,66.456
464,67.161,66.008
465,68.387,66.466
466,67.642,66.378
467,67.555,66.347
468,68.536,66.316
469,70.027,66.623
470,61.074,66.792
471,62.724,67.534
472,64.286,67.156
473,64.111,66.781
474,63.683,67.255
475,64.684,66.790
476,64.668,66.883
477,67.958,68.112
478,64.609,63.616
479,66.078,63.180
480,65.253,65.672
481,69.672,67.234
482,65.340,67.409
483,65.544,67.579
484,66.111,67.206
485,66.230,67.100
486,66.009,66.806
487,66.032,67.093
488,65.946,66.914
489,67.097,66.775
490,66.989,66.976
491,67.388,67.666
492,67.407,67.621
493,67.311,67.668
494,68.272,67.326
495,68.336,67.042
496,67.568,66.964
497,68.232,67.072
498,69.076,67.169
499,68.770,67.481
500,70.492,67.671
501,70.008,66.865
502,69.520,67.044
503,61.506,67.725
504,62.939,68.530
505,64.103,67.874
506,63.852,67.847
507,65.087,68.266
508,64.626,68.184
509,65.891,68.557
510,66.244,67.771
511,65.660,67.930
512,66.053,67.725
513,66.307,67.989
514,67.153,68.068
515,66.910,67.772
516,66.894,68.110
517,66.566,68.166
518,67.238,68.611
519,67.057,68.289
520,67.945,68.383
521,67.940,68.621
522,67.842,68.278
523,67.919,67.939
524,68.640,67.710
525,68.605,68.351
526,69.040,68.147
527,69.033,67.974
528,69.125,68.237
529,68.538,68.057
530,70.243,68.499
531,69.843,68.589
532,69.901,67.741
533,71.489,68.698
534,72.370,68.635
535,71.944,68.378
536,61.019,69.114
537,63.011,69.354
538,64.579,69.513
539,65.397,69.110
540,64.850,69.643
541,65.545,69.407
542,65.564,69.186
543,66.097,68.807
544,67.406,69.117
545,66.584,69.027
546,67.410,69.057
547,67.216,69.146
548,68.232,68.731
549,67.881,68.980
550,68.015,68.953
551,67.693,69.164
552,68.855,68.816
553,68.733,68.737
554,69.071,69.001
555,68.800,69.282
556,68.799,69.377
557,69.322,68.909
558,69.609,69.323
559,69.761,69.639
560,70.161,69.436
561,70.121,68.979
562,71.108,69.543
563,71.442,68.735
564,71.750,69.201
565,64.356,70.362
566,65.163,70.101
567,66.095,70.395
568,65.787,70.039
569,65.539,69.766
570,66.717,70.391
571,67.173,70.037
572,67.169,70.259
573,68.061,69.871
574,67.860,70.698
575,68.197,70.258
576,69.295,69.718
577,68.841,70.320
578,69.181,69.957
579,68.697,69.727
580,69.458,70.227
581,70.048,70.020
582,69.692,70.320
583,70.207,70.399
584,70.791,69.781
585,70.880,69.760
586,71.307,70.538
587,72.327,70.034
588,72.782,70.591
589,64.401,71.134
590,64.891,71.154
591,65.845,71.030
592,67.355,70.939
593,67.450,70.786
594,67.864,71.507
595,67.924,71.570
596,68.500,70.836
597,67.606,70.961
598,69.373,71.554
599,69.349,71.083
600,69.483,71.496
601,70.219,71.370
602,70.022,71.499
603,69.837,71.012
604,69.604,71.628
605,71.498,71.367
606,72.169,71.234
607,72.410,70.901
608,72.525,71.531
609,64.670,72.441
610,66.784,72.600
611,67.834,71.792
612,68.159,72.008
613,69.193,72.017
614,68.867,72.450
615,70.111,71.929
616,70.120,72.091
617,71.037,72.574
618,71.432,72.533
619,72.046,71.785
620,72.738,72.576
621,68.026,73.068
622,69.049,73.189
623,68.864,73.394
624,69.634,73.375
625,71.241,73.677
626,71.957,72.848
627,72.900,72.996
628,65.860,74.678
629,68.489,73.851
630,70.727,74.357
631,72.346,73.999
632,72.599,73.925
633,68.830,75.678
634,73.500,76.105
635,70.060,78.248
636,67.929,61.896
637,64.670,69.862
638,60.779,62.268
639,74.941,71.408
640,70.649,71.609
641,60.915,65.514
642,65.289,71.866
643,71.362,71.166
644,71.669,64.533
645,62.689,65.251
646,71.393,69.629
647,66.563,65.102
648,67.188,61.035
649,62.532,63.121
650,64.855,63.597
651,66.942,63.478
652,62.360,63.832
653,63.581,64.184
654,65.446,64.669
655,65.005,64.064
656,66.437,64.381
657,66.668,64.603
658,59.490,64.817
659,63.001,65.229
660,64.089,65.624
661,64.075,65.628
662,64.521,64.858
663,65.192,65.648
664,66.306,65.690
665,66.031,65.582
666,66.831,65.089
667,68.197,64.872
668,68.660,65.688
669,61.294,66.545
670,63.261,66.233
671,63.862,65.910
672,64.132,66.299
673,64.811,66.336
674,64.560,66.190
675,66.194,66.127
676,66.500,66.194
677,66.434,65.824
678,67.305,66.614
679,67.366,66.453
680,67.292,66.256
681,67.699,66.537
682,68.382,66.285
683,67.767,65.904
684,69.296,66.620
685,69.665,66.593
686,60.034,67.306
687,62.136,67.415
688,63.640,67.517
689,63.823,66.941
690,64.466,67.112
691,64.738,66.991
692,65.430,66.941
693,65.074,68.069
694,69.295,67.479
695,67.680,63.007
696,64.943,67.402
697,69.479,68.757
698,65.060,66.908
699,65.013,67.283
700,65.620,67.160
701,65.948,67.124
702,65.688,67.073
703,65.877,67.177
704,65.915,66.747
705,67.419,66.819
706,66.538,67.437
707,67.420,67.373
708,67.220,66.960
709,67.337,67.402
710,68.113,66.918
711,68.020,66.930
712,68.028,66.784
713,68.351,66.784
714,68.803,67.152
715,69.493,67.450
716,70.230,67.690
717,69.720,67.138
718,70.167,67.606
719,61.074,67.963
720,62.669,68.657
721,64.323,68.430
722,64.274,68.011
723,64.961,68.619
724,64.772,68.506
725,66.237,67.774
726,66.107,68.098
727,66.428,68.192
728,66.227,68.549
729,65.876,68.594
730,67.030,68.653
731,67.485,68.403
732,66.737,68.543
733,66.692,68.594
734,67.318,67.879
735,67.122,68.045
736,67.826,67.963
737,68.438,68.551
738,67.746,68.078
739,68.093,67.933
740,67.717,68.592
741,68.993,67.909
742,69.246,68.638
743,69.283,68.651
744,69.263,68.406
745,68.756,68.196
746,69.625,68.339
747,69.619,68.132
748,69.947,67.796
749,70.589,68.245
750,72.341,67.964
751,71.561,68.027
752,72.945,68.077
753,63.338,69.233
754,64.344,69.229
755,65.141,68.906
756,65.242,69.332
757,65.904,69.532
758,65.988,69.024
759,65.571,69.263
760,65.827,69.554
761,66.886,69.366
762,66.986,68.966
763,67.415,69.330
764,67.933,69.104
765,67.778,69.292
766,68.450,69.260
767,68.323,68.714
768,68.351,69.485
769,68.737,69.481
770,68.977,68.883
771,69.319,68.835
772,68.804,69.424
773,68.904,68.824
774,69.804,69.070
775,69.667,69.185
776,70.381,69.270
777,70.299,68.837
778,71.026,69.116
779,71.284,69.396
780,72.033,68.703
781,63.265,70.393
782,64.876,70.496
783,65.727,70.118
784,66.138,69.753
785,66.489,70.252
786,66.064,70.288
787,66.735,69.718
788,67.123,70.138
789,67.572,70.418
790,68.183,69.916
791,68.339,69.780
792,68.147,69.908
793,69.170,70.292
794,69.176,70.201
795,68.528,70.428
796,68.849,70.402
797,69.698,70.657
798,69.865,69.728
799,70.486,70.452
800,71.162,70.525
801,70.589,70.457
802,70.544,70.520
803,72.386,70.256
804,73.185,70.327
805,64.123,71.399
806,64.629,71.035
807,65.742,71.613
808,67.116,70.901
809,66.815,71.368
810,68.380,71.462
811,68.338,71.229
812,68.251,71.594
813,68.365,71.648
814,68.679,71.339
815,68.703,71.131
816,69.047,71.524
817,70.174,70.958
818,69.868,71.482
819,70.158,70.854
820,70.242,71.419
821,71.418,71.309
822,70.660,71.223
823,72.426,71.451
824,73.043,70.761
825,64.689,72.656
826,67.099,71.964
827,67.799,72.307
828,68.373,72.245
829,69.194,72.380
830,68.594,72.042
831,69.870,71.776
832,70.180,72.549
833,70.518,72.574
834,71.007,71.906
835,71.831,72.620
836,72.811,72.422
837,67.955,73.138
838,67.813,73.608
839,69.328,73.265
840,70.451,73.077
841,71.389,73.698
842,72.310,73.606
843,71.882,72.870
844,64.616,73.901
845,67.754,74.324
846,69.903,73.878
847,70.870,74.210
848,72.715,74.478
849,69.039,75.073
850,72.445,76.352
851,69.073,78.365
852,70.176,61.220
853,72.372,72.634
854,59.638,64.943
855,73.277,73.030
856,68.126,71.816
857,63.152,65.291
858,66.005,60.909
859,71.453,72.131
860,68.146,70.989
861,65.255,61.702
862,70.416,67.514
863,68.385,64.378
864,61.891,63.282
865,64.984,63.479
866,66.219,63.662
867,59.484,63.946
868,62.776,63.938
869,63.865,63.947
870,64.565,64.082
871,65.603,64.687
872,66.283,64.383
873,70.553,63.911
874,62.145,64.843
875,64.379,65.332
876,64.352,65.237
877,64.913,65.473
878,65.331,65.163
879,65.175,65.357
880,66.103,65.595
881,66.050,64.703
882,67.382,64.770
883,67.840,65.559
884,70.273,65.423
885,63.193,66.546
886,63.668,65.701
887,64.127,66.123
888,64.714,66.268
889,65.147,66.555
890,65.944,66.424
891,65.678,66.506
892,65.951,66.277
893,67.308,66.421
894,66.694,66.258
895,66.569,66.129
896,66.810,66.536
897,68.240,66.326
898,67.534,66.120
899,68.416,65.879
900,69.096,65.710
901,70.810,66.102
902,61.682,67.572
903,63.045,67.436
904,64.349,67.008
905,63.893,67.210
906,65.482,67.192
907,64.726,67.395
908,64.651,67.450
909,67.473,68.189
910,66.767,62.741
911,64.981,66.350
912,69.387,65.700
913,63.712,68.363
914,64.634,67.525
915,66.000,67.246
916,65.966,67.215
917,66.498,67.454
918,66.272,66.935
919,65.679,67.683
920,66.868,66.972
921,66.735,66.730
922,66.534,66.752
923,67.051,67.435
924,67.050,66.929
925,67.559,67.493
926,67.581,66.939
927,67.519,67.031
928,68.126,66.915
929,68.575,66.978
930,68.525,67.149
931,69.203,67.531
932,69.755,67.522
933,69.919,67.279
934,70.503,67.569
935,62.835,67.758
936,63.245,68.106
937,64.446,68.497
938,64.318,68.585
939,64.735,67.856
940,64.724,68.608
941,65.977,68.192
942,65.637,68.258
943,65.834,68.154
944,65.871,68.186
945,66.610,68.161
946,66.758,68.610
947,66.770,68.344
948,67.214,68.657
949,67.090,68.519
950,66.934,67.721
951,68.039,67.970
952,67.985,67.751
953,68.250,68.097
954,68.261,68.646
955,68.212,68.232
956,68.540,68.182
957,68.505,68.150
958,69.132,68.136
959,69.220,68.100
960,69.344,68.530
961,69.412,68.377
962,70.251,68.177
963,69.686,67.745
964,70.511,67.930
965,71.296,68.259
966,72.202,68.336
967,72.339,68.274
968,62.916,69.582
969,63.935,68.700
970,64.599,68.931
971,65.474,68.787
972,65.864,69.065
973,66.307,68.993
974,65.776,68.995
975,66.484,68.739
976,67.320,69.474
977,67.399,69.084
978,67.059,69.073
979,68.452,69.623
980,67.706,69.357
981,68.084,69.161
982,67.589,68.814
983,67.804,68.953
984,69.259,69.476
985,69.053,69.551
986,68.709,69.389
987,69.028,69.572
988,68.949,69.371
989,68.815,68.922
990,69.918,68.711
991,70.451,69.267
992,69.963,68.745
993,69.758,68.815
994,71.383,69.475
995,71.081,69.693
996,72.749,69.653
997,65.269,70.469
998,66.015,70.006
999,65.514,70.617
1000,65.624,70.513
1001,65.922,69.972
1002,67.111,69.923
1003,66.897,70.469
1004,67.942,69.919
1005,67.727,69.719
1006,67.550,70.612
1007,67.960,70.209
1008,68.830,70.276
1009,69.439,70.183
1010,68.560,70.511
1011,69.106,70.500
1012,70.481,70.240
1013,69.930,70.001
1014,70.042,70.217
1015,69.568,70.206
1016,71.011,69.978
1017,70.626,70.366
1018,71.464,70.389
1019,71.621,70.186
1020,73.878,70.232
1021,65.006,70.742
1022,66.304,71.479
1023,65.867,71.417
1024,66.867,71.202
1025,67.160,70.880
1026,68.069,71.266
1027,67.574,71.417
1028,67.634,71.241
1029,69.414,71.155
1030,68.872,71.206
1031,69.078,70.985
1032,69.812,71.356
1033,70.015,71.213
1034,69.566,71.596
1035,70.254,71.259
1036,70.683,71.533
1037,70.879,70.928
1038,72.451,71.548
1039,73.044,71.073
1040,74.409,70.862
1041,67.401,72.673
1042,66.531,71.772
1043,68.046,72.643
1044,68.828,72.482
1045,69.331,71.908
1046,70.347,72.183
1047,70.173,72.551
1048,70.809,72.339
1049,70.703,72.071
1050,72.360,72.306
1051,72.366,72.052
1052,67.175,72.752
1053,67.840,72.792
1054,68.905,73.506
1055,70.375,73.686
1056,71.185,72.796
1057,71.413,73.410
1058,71.707,73.021
1059,72.601,73.208
1060,67.577,74.492
1061,68.558,73.813
1062,70.950,73.814
1063,71.998,73.826
1064,75.175,73.817
1065,73.072,75.575
1066,69.924,77.235
1067,65.543,60.059
1068,72.563,76.819
1069,72.151,66.727
1070,63.220,58.795
1071,73.264,67.893
1072,65.813,61.049
1073,67.707,59.817
1074,66.997,70.752
1075,71.332,68.268
1076,71.783,69.306
1077,70.738,69.302
1078,70.306,67.015